Entity,Code,Year,Recycled,Incinerated,Littered and mismanaged,Landfilled
World,OWID_WRL,2000,5783667,16980004,40635293,92773424
World,OWID_WRL,2001,6529903,18570814,42657703,96065192
World,OWID_WRL,2002,7439750,20530800,45354525,100721944
World,OWID_WRL,2003,8383408,22507442,47831168,104927936
World,OWID_WRL,2004,9459860,24743732,50646040,109797352
World,OWID_WRL,2005,10492602,26828640,52868512,113526520
World,OWID_WRL,2006,11721061,29326584,55713399,118502808
World,OWID_WRL,2007,13053889,32007148,58640347,123696624
World,OWID_WRL,2008,13923892,33589484,59203064,124444248
World,OWID_WRL,2009,15146142,35934470,61048168,127749080
World,OWID_WRL,2010,16869304,39280410,64469761,134096888
World,OWID_WRL,2011,18445328,42217170,66824044,138479392
World,OWID_WRL,2012,19965052,45017956,68642046,142179760
World,OWID_WRL,2013,21606470,48097096,70545477,146396800
World,OWID_WRL,2014,23210076,51000892,72236272,149737840
World,OWID_WRL,2015,25171848,54338508,74248456,154542320
World,OWID_WRL,2016,27003764,57792816,75502932,159263968
World,OWID_WRL,2017,28954854,61498290,76795274,163771408
World,OWID_WRL,2018,30927352,65312556,77681257,168317888
World,OWID_WRL,2019,32829024,67295010,79329675,173837392
