Entity,Code,Year,Share of waste recycled from total regional waste
Americas (excl. USA),,2000,4.721963
Americas (excl. USA),,2001,4.9725046
Americas (excl. USA),,2002,5.22747
Americas (excl. USA),,2003,5.4825106
Americas (excl. USA),,2004,5.7400074
Americas (excl. USA),,2005,5.9932656
Americas (excl. USA),,2006,6.2488875
Americas (excl. USA),,2007,6.5048146
Americas (excl. USA),,2008,6.750381
Americas (excl. USA),,2009,7.0017624
Americas (excl. USA),,2010,7.2607164
Americas (excl. USA),,2011,7.517997
Americas (excl. USA),,2012,7.7693286
Americas (excl. USA),,2013,8.0173
Americas (excl. USA),,2014,8.261709
Americas (excl. USA),,2015,8.545545
Americas (excl. USA),,2016,8.805077
Americas (excl. USA),,2017,9.050159
Americas (excl. USA),,2018,9.3020315
Americas (excl. USA),,2019,9.554245
Asia (excl. China and India),,2000,3.826082
Asia (excl. China and India),,2001,4.0782595
Asia (excl. China and India),,2002,4.3347645
Asia (excl. China and India),,2003,4.5875983
Asia (excl. China and India),,2004,4.8415866
Asia (excl. China and India),,2005,5.084951
Asia (excl. China and India),,2006,5.3303037
Asia (excl. China and India),,2007,5.573142
Asia (excl. China and India),,2008,5.789884
Asia (excl. China and India),,2009,6.0158916
Asia (excl. China and India),,2010,6.261683
Asia (excl. China and India),,2011,6.5045176
Asia (excl. China and India),,2012,6.7315044
Asia (excl. China and India),,2013,6.9581046
Asia (excl. China and India),,2014,7.181574
Asia (excl. China and India),,2015,7.4340363
Asia (excl. China and India),,2016,7.6610985
Asia (excl. China and India),,2017,7.8878145
Asia (excl. China and India),,2018,8.143374
Asia (excl. China and India),,2019,8.351267
China,CHN,2000,4.7811875
China,CHN,2001,5.210237
China,CHN,2002,5.6417065
China,CHN,2003,6.072641
China,CHN,2004,6.505385
China,CHN,2005,6.9324255
China,CHN,2006,7.361401
China,CHN,2007,7.7904778
China,CHN,2008,8.205644
China,CHN,2009,8.62724
China,CHN,2010,9.063556
China,CHN,2011,9.495494
China,CHN,2012,9.926935
China,CHN,2013,10.358366
China,CHN,2014,10.742684
China,CHN,2015,11.2197
China,CHN,2016,11.647163
China,CHN,2017,12.039127
China,CHN,2018,12.4892435
China,CHN,2019,12.801141
Europe,,2000,4.4350724
Europe,,2001,4.8575726
Europe,,2002,5.2840734
Europe,,2003,5.7134585
Europe,,2004,6.1474333
Europe,,2005,6.5762663
Europe,,2006,7.005127
Europe,,2007,7.4335413
Europe,,2008,7.8578277
Europe,,2009,8.282662
Europe,,2010,8.717985
Europe,,2011,9.1653
Europe,,2012,9.597319
Europe,,2013,10.011501
Europe,,2014,10.433878
Europe,,2015,10.883846
Europe,,2016,11.286401
Europe,,2017,11.679832
Europe,,2018,12.079297
Europe,,2019,12.384406
India,IND,2000,5.072351
India,IND,2001,5.5181284
India,IND,2002,5.967143
India,IND,2003,6.414317
India,IND,2004,6.862617
India,IND,2005,7.3041263
India,IND,2006,7.7485833
India,IND,2007,8.192793
India,IND,2008,8.615771
India,IND,2009,9.048954
India,IND,2010,9.512734
India,IND,2011,9.96875
India,IND,2012,10.419898
India,IND,2013,10.86092
India,IND,2014,11.294253
India,IND,2015,11.762998
India,IND,2016,12.197806
India,IND,2017,12.617458
India,IND,2018,13.01899
India,IND,2019,13.333093
Middle East & North Africa,,2000,2.8385525
Middle East & North Africa,,2001,2.9783854
Middle East & North Africa,,2002,3.120995
Middle East & North Africa,,2003,3.2624445
Middle East & North Africa,,2004,3.4045367
Middle East & North Africa,,2005,3.5428393
Middle East & North Africa,,2006,3.6822584
Middle East & North Africa,,2007,3.8210428
Middle East & North Africa,,2008,3.950186
Middle East & North Africa,,2009,4.083425
Middle East & North Africa,,2010,4.2234116
Middle East & North Africa,,2011,4.3600283
Middle East & North Africa,,2012,4.493245
Middle East & North Africa,,2013,4.6259875
Middle East & North Africa,,2014,4.758251
Middle East & North Africa,,2015,4.9017944
Middle East & North Africa,,2016,5.042626
Middle East & North Africa,,2017,5.1716475
Middle East & North Africa,,2018,5.3062506
Middle East & North Africa,,2019,5.4478326
Oceania,,2000,3.8013997
Oceania,,2001,3.9639761
Oceania,,2002,4.1322722
Oceania,,2003,4.2974424
Oceania,,2004,4.4636645
Oceania,,2005,4.620853
Oceania,,2006,4.781365
Oceania,,2007,4.940778
Oceania,,2008,5.0769835
Oceania,,2009,5.225511
Oceania,,2010,5.391036
Oceania,,2011,5.549219
Oceania,,2012,5.7029896
Oceania,,2013,5.8584156
Oceania,,2014,6.0145235
Oceania,,2015,6.195937
Oceania,,2016,6.3603725
Oceania,,2017,6.5187745
Oceania,,2018,6.6881332
Oceania,,2019,6.8709826
Sub-Saharan Africa,,2000,3.0122259
Sub-Saharan Africa,,2001,3.1577353
Sub-Saharan Africa,,2002,3.3036993
Sub-Saharan Africa,,2003,3.4496167
Sub-Saharan Africa,,2004,3.5955374
Sub-Saharan Africa,,2005,3.7399182
Sub-Saharan Africa,,2006,3.8841133
Sub-Saharan Africa,,2007,4.0282083
Sub-Saharan Africa,,2008,4.1703157
Sub-Saharan Africa,,2009,4.3130527
Sub-Saharan Africa,,2010,4.4576178
Sub-Saharan Africa,,2011,4.601472
Sub-Saharan Africa,,2012,4.742198
Sub-Saharan Africa,,2013,4.880434
Sub-Saharan Africa,,2014,5.020707
Sub-Saharan Africa,,2015,5.169435
Sub-Saharan Africa,,2016,5.3148503
Sub-Saharan Africa,,2017,5.4564695
Sub-Saharan Africa,,2018,5.595348
Sub-Saharan Africa,,2019,5.719333
United States,USA,2000,2.3450744
United States,USA,2001,2.4553702
United States,USA,2002,2.5685005
United States,USA,2003,2.6816757
United States,USA,2004,2.797141
United States,USA,2005,2.9077706
United States,USA,2006,3.0194216
United States,USA,2007,3.1306255
United States,USA,2008,3.2331533
United States,USA,2009,3.3390625
United States,USA,2010,3.4539638
United States,USA,2011,3.571022
United States,USA,2012,3.6815884
United States,USA,2013,3.7851892
United States,USA,2014,3.8899853
United States,USA,2015,4.0129786
United States,USA,2016,4.1291475
United States,USA,2017,4.245349
United States,USA,2018,4.3634415
United States,USA,2019,4.4888835
World,OWID_WRL,2000,3.7033865
World,OWID_WRL,2001,3.9859352
World,OWID_WRL,2002,4.2745633
World,OWID_WRL,2003,4.564884
World,OWID_WRL,2004,4.8600082
World,OWID_WRL,2005,5.150596
World,OWID_WRL,2006,5.4449744
World,OWID_WRL,2007,5.740547
World,OWID_WRL,2008,6.0234685
World,OWID_WRL,2009,6.314106
World,OWID_WRL,2010,6.6227803
World,OWID_WRL,2011,6.935222
World,OWID_WRL,2012,7.238834
World,OWID_WRL,2013,7.5376887
World,OWID_WRL,2014,7.836343
World,OWID_WRL,2015,8.164696
World,OWID_WRL,2016,8.450203
World,OWID_WRL,2017,8.747166
World,OWID_WRL,2018,9.036769
World,OWID_WRL,2019,9.292344
